"","countrycode","year","gii","scenario"
"522","NLD",2002,0.0199361411152988,"Observed"
"523","NOR",2002,0.0115569906187669,"Observed"
"524","NPL",2002,0.649164928425162,"Observed"
"525","NZL",2002,0.140385743656451,"Observed"
"526","PAK",2002,0.625449302959321,"Observed"
"527","PAN",2002,0.499200993123808,"Observed"
"528","PER",2002,0.469345386055506,"Observed"
"529","PHL",2002,0.468640546284026,"Observed"
"530","POL",2002,0.0923581507288305,"Observed"
"531","PRK",2002,0.0655291047337824,"Observed"
"532","PRT",2002,0.123076697559735,"Observed"
"533","PRY",2002,0.614002784417508,"Observed"
"534","ROU",2002,0.357210855485886,"Observed"
"535","RUS",2002,0.358761771509296,"Observed"
"536","RWA",2002,0.547801817941331,"Observed"
"537","SDN",2002,0.687822904785324,"Observed"
"538","SEN",2002,0.62723070409738,"Observed"
"539","SGP",2002,0.116562193301157,"Observed"
"540","SLB",2002,0.668411250680038,"Observed"
"541","SLV",2002,0.489580187629027,"Observed"
"542","SUR",2002,0.532168039355504,"Observed"
"543","SVK",2002,0.130511373881879,"Observed"
"544","SVN",2002,0.0438444700567258,"Observed"
"545","SWE",2002,0.01,"Observed"
"546","SWZ",2002,0.68434390574231,"Observed"
"547","TGO",2002,0.669539881123389,"Observed"
"548","THA",2002,0.375117620788271,"Observed"
"549","TJK",2002,0.381481455342892,"Observed"
"550","TKM",2002,0.218249628818893,"Observed"
"551","TTO",2002,0.376262655256144,"Observed"
"552","TUN",2002,0.323449295943334,"Observed"
"553","TZA",2002,0.612150997106683,"Observed"
"554","UGA",2002,0.606824381832465,"Observed"
"555","URY",2002,0.343631725374119,"Observed"
"556","USA",2002,0.235614984080825,"Observed"
"557","VCT",2002,0.392897095530943,"Observed"
"558","VEN",2002,0.52701773052841,"Observed"
"559","VNM",2002,0.298269193292981,"Observed"
"560","VUT",2002,0.580534578076051,"Observed"
"561","WSM",2002,0.453405423916127,"Observed"
"562","YEM",2002,0.834546060802462,"Observed"
"563","ZAF",2002,0.4482879404326,"Observed"
"564","ZMB",2002,0.630157336509918,"Observed"
"565","ZWE",2002,0.615616070382562,"Observed"
"566","AGO",2003,0.659373888722503,"Observed"
"567","ALB",2003,0.282835458951565,"Observed"
"568","ARE",2003,0.420161342914359,"Observed"
"569","ARG",2003,0.373250737729191,"Observed"
"570","ARM",2003,0.386490027669954,"Observed"
"571","AUS",2003,0.0889204540242697,"Observed"
"572","AUT",2003,0.0505779646669857,"Observed"
"573","AZE",2003,0.342744773331092,"Observed"
"574","BDI",2003,0.598102458849809,"Observed"
"575","BEL",2003,0.0314345220975624,"Observed"
"576","BEN",2003,0.664908165817523,"Observed"
"577","BFA",2003,0.638690997442067,"Observed"
"578","BGD",2003,0.728119515181477,"Observed"
